POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,1423.09,3147.72,4082.47,363.88,216.12,-259.11,-2906.09,-25959.82,1187.74,15892.69,-4631.05,3203.56,-1753.41,-2811.3,-3180.9,-5992.2
2,1366.7,3194.12,4079.56,371.42,213.1,-265.51,-2941.37,-26074.12,1206.21,15908.39,-4578.76,3185.7,-1735.76,-2941.5,-3128.82,-6070.32
3,1415.71,3263.04,4097.07,370.91,224.58,-284.18,-2911.94,-26043.6,1175.62,15695.64,-4486.99,3212.44,-1767.45,-2997.16,-3042.0,-6039.16
4,1411.66,3260.88,4059.56,388.8,219.75,-266.38,-2906.06,-25860.16,1217.63,15701.31,-4672.55,3202.66,-1760.9,-2773.02,-3230.79,-6003.81
5,1402.37,3213.54,4101.93,366.33,220.06,-273.85,-2906.75,-25815.91,1212.57,15762.78,-4688.15,3204.84,-1752.73,-2716.93,-3236.04,-5952.97
6,1406.83,3161.31,4089.11,363.61,219.98,-258.51,-2920.99,-26068.21,1219.0,15851.51,-4553.75,3198.72,-1751.62,-2936.36,-3106.64,-6043.0
7,1450.95,3161.89,4044.01,368.32,203.02,-238.95,-2909.64,-26172.78,1220.7,15913.75,-4461.85,3185.57,-1751.93,-2958.74,-3028.22,-5986.95
8,1396.98,3165.64,4046.29,363.36,207.25,-234.44,-2904.97,-25906.03,1221.38,15712.3,-4580.85,3195.6,-1748.81,-2932.23,-3134.06,-6066.29
9,1359.15,3202.15,4099.1,386.03,219.27,-282.74,-2910.24,-25904.33,1242.25,15728.85,-4612.44,3199.65,-1765.19,-2860.53,-3177.98,-6038.51
10,1383.09,3214.05,4074.45,384.78,203.62,-271.45,-2955.73,-25964.72,1198.03,15791.54,-4599.15,3204.34,-1767.62,-2942.33,-3162.43,-6104.76
11,1366.72,3166.78,4062.31,356.23,213.79,-255.85,-2921.44,-26005.59,1217.87,15902.79,-4660.26,3196.1,-1759.51,-2896.39,-3223.66,-6120.06
12,1419.59,3183.94,4080.52,380.75,224.22,-269.44,-2898.18,-25958.73,1213.11,15834.9,-4569.03,3187.27,-1732.66,-2789.32,-3114.42,-5903.74
13,1392.2,3193.33,4048.22,371.15,227.06,-264.85,-2904.23,-25908.14,1192.81,15765.29,-4618.38,3223.66,-1774.79,-2887.17,-3169.51,-6056.68
14,1469.53,3256.08,4067.27,375.87,222.54,-271.19,-2915.12,-25743.15,1198.4,15627.27,-4693.53,3229.84,-1791.97,-2712.52,-3255.66,-5968.18
15,1414.16,3217.35,4073.08,371.66,204.88,-249.75,-2874.81,-26049.03,1201.19,15824.4,-4571.14,3206.7,-1765.45,-2866.88,-3129.89,-5996.76
16,1408.92,3329.55,4018.76,389.97,206.49,-259.91,-2861.7,-25709.46,1211.78,15603.41,-4715.13,3214.77,-1766.25,-2662.19,-3266.62,-5928.81
17,1436.3,3235.63,4040.2,365.28,204.83,-271.3,-2887.62,-25897.47,1216.29,15802.55,-4690.84,3212.22,-1762.17,-2755.31,-3240.79,-5996.1
18,1335.06,3234.92,4015.42,363.01,235.96,-248.5,-2887.16,-25803.34,1232.64,15867.68,-4806.08,3213.89,-1766.7,-2654.3,-3358.89,-6013.19
19,1419.82,3170.16,4061.53,376.62,210.68,-269.61,-2885.65,-25979.3,1225.61,15807.61,-4554.52,3213.44,-1762.29,-2862.54,-3103.37,-5965.91
20,1447.11,3170.82,4081.14,373.66,225.47,-266.94,-2876.95,-26021.61,1185.36,15903.64,-4645.92,3206.43,-1769.07,-2778.31,-3208.56,-5986.87
21,1356.84,3187.43,3998.34,375.62,216.71,-247.78,-2928.21,-25871.06,1248.39,15910.46,-4694.29,3216.45,-1765.13,-2753.27,-3242.97,-5996.24
22,1395.74,3195.78,4041.37,360.59,214.28,-276.45,-2884.22,-25876.23,1195.16,15740.88,-4650.82,3216.31,-1775.56,-2893.1,-3210.07,-6103.18
23,1420.2,3198.03,4084.79,371.66,221.07,-265.33,-2910.28,-25811.79,1202.09,15812.4,-4712.69,3214.61,-1761.12,-2677.16,-3259.21,-5936.37
24,1402.87,3220.19,4021.12,373.66,217.54,-278.0,-2892.8,-25841.99,1224.22,15875.28,-4747.95,3207.53,-1753.02,-2677.9,-3293.44,-5971.34
25,1408.13,3260.75,4021.36,357.0,208.7,-284.35,-2849.19,-25825.49,1196.25,15746.01,-4736.65,3199.97,-1754.66,-2760.83,-3291.34,-6052.16
26,1426.13,3214.65,4031.02,380.5,235.5,-261.4,-2902.16,-26014.52,1222.06,15908.23,-4644.7,3200.42,-1758.76,-2759.98,-3203.04,-5963.03
27,1454.7,3184.2,4055.15,361.06,204.76,-265.2,-2844.33,-26035.71,1221.12,15868.83,-4623.69,3225.54,-1785.74,-2795.42,-3183.89,-5979.31
28,1383.27,3224.5,4070.92,367.34,197.89,-285.25,-2858.94,-25844.79,1217.94,15711.22,-4623.76,3211.18,-1775.38,-2815.9,-3187.96,-6003.86
29,1397.05,3293.22,4068.58,366.44,225.63,-283.81,-2911.25,-25683.08,1193.93,15699.6,-4753.48,3220.2,-1769.77,-2633.7,-3303.05,-5936.75
30,1358.11,3222.77,4036.34,380.56,216.58,-270.8,-2896.82,-25752.59,1217.09,15728.21,-4782.24,3208.85,-1780.28,-2760.54,-3353.67,-6114.21
31,1390.31,3249.07,4010.57,371.93,208.34,-269.67,-2839.47,-25713.94,1184.71,15657.01,-4835.85,3230.9,-1787.07,-2751.14,-3392.02,-6143.16
32,1422.8,3166.32,4067.65,359.63,230.84,-271.16,-2856.78,-25859.31,1207.93,15814.91,-4720.8,3222.75,-1778.09,-2717.17,-3276.15,-5993.32
33,1396.96,3223.83,4052.08,396.58,219.67,-264.84,-2907.85,-25898.95,1185.78,15653.47,-4589.48,3223.81,-1785.68,-2943.26,-3151.34,-6094.61
34,1358.03,3194.58,4071.09,376.21,222.9,-315.87,-2904.75,-25973.23,1232.49,15835.44,-4572.96,3195.62,-1746.57,-2903.12,-3123.92,-6027.03
35,1424.6,3171.02,4056.39,363.0,199.63,-274.47,-2879.78,-25897.74,1228.46,15752.92,-4629.49,3217.12,-1771.51,-2855.98,-3183.87,-6039.85
36,1394.85,3237.88,4074.74,371.0,215.7,-273.84,-2865.77,-26119.67,1233.29,15791.43,-4439.24,3210.38,-1771.14,-2940.4,-3000.0,-5940.4
37,1427.09,3232.87,4068.4,364.28,229.25,-307.57,-2845.17,-25888.93,1206.61,15639.09,-4596.5,3219.3,-1780.12,-2874.07,-3157.31,-6031.39
38,1379.29,3188.8,4058.18,366.94,201.14,-313.63,-2815.03,-26107.97,1232.91,15809.06,-4471.92,3211.5,-1773.53,-3000.3,-3033.95,-6034.25
39,1402.29,3145.15,4116.74,377.01,198.78,-296.62,-2850.62,-26092.08,1238.06,15668.43,-4406.19,3222.38,-1779.29,-3092.86,-2963.1,-6055.96
40,1383.79,3286.9,4079.14,388.4,221.35,-300.84,-2876.8,-25754.28,1225.17,15810.0,-4731.92,3221.51,-1774.28,-2537.17,-3284.7,-5821.87
41,1427.25,3322.69,4031.78,388.29,219.72,-288.08,-2881.81,-25757.04,1215.12,15839.2,-4803.93,3239.96,-1784.85,-2482.87,-3348.82,-5831.69
42,1392.72,3248.41,4068.34,380.25,227.48,-269.67,-2863.88,-25958.04,1221.23,15800.34,-4718.51,3216.51,-1789.51,-2752.82,-3291.51,-6044.33
43,1433.96,3255.45,4093.18,380.57,205.74,-269.9,-2861.19,-25995.3,1243.43,15744.56,-4597.92,3200.77,-1765.96,-2769.5,-3163.1,-5932.6
44,1412.18,3170.76,4074.55,383.79,212.18,-287.65,-2865.18,-26077.91,1242.14,15813.34,-4601.79,3211.52,-1784.9,-2921.8,-3175.17,-6096.96
45,1372.99,3271.31,4073.88,371.25,217.61,-269.93,-2847.72,-26006.13,1223.98,15794.69,-4633.71,3222.97,-1790.05,-2798.08,-3200.78,-5998.86
46,1395.55,3292.68,4058.31,385.89,223.66,-284.46,-2825.79,-25996.55,1224.96,15746.92,-4601.85,3213.03,-1770.02,-2778.82,-3158.84,-5937.66
47,1426.88,3193.96,4070.45,380.46,214.57,-280.04,-2828.24,-26106.63,1185.93,15899.86,-4578.97,3236.48,-1796.02,-2842.8,-3138.52,-5981.32
48,1424.53,3233.59,4069.66,374.66,220.31,-269.08,-2843.01,-25859.81,1217.12,15728.56,-4655.53,3236.16,-1796.5,-2703.46,-3215.87,-5919.33
49,1394.18,3125.07,4056.28,372.3,207.92,-266.17,-2874.78,-26241.71,1235.87,15948.38,-4468.46,3227.02,-1775.11,-3042.65,-3016.54,-6059.2
50,1436.02,3320.9,4034.47,385.98,228.01,-268.93,-2863.91,-25916.06,1211.84,15631.59,-4523.73,3214.68,-1758.08,-2800.07,-3067.13,-5867.2
51,1404.22,3187.41,4077.32,360.51,222.08,-275.05,-2893.02,-25799.04,1215.22,15874.25,-4803.83,3229.38,-1785.28,-2626.09,-3359.73,-5985.82
52,1402.73,3178.42,4071.97,383.2,225.74,-283.66,-2841.24,-25989.48,1224.73,15805.81,-4669.8,3243.5,-1813.58,-2821.79,-3239.87,-6061.66
53,1359.89,3165.05,4068.99,370.58,211.09,-290.53,-2816.68,-25694.16,1232.19,15803.2,-4905.24,3229.52,-1798.72,-2590.38,-3474.44,-6064.82
54,1421.84,3182.4,4065.13,377.58,202.4,-288.14,-2854.7,-25737.04,1193.02,15702.12,-4787.17,3237.01,-1799.96,-2735.4,-3350.12,-6085.52
55,1446.92,3184.36,4007.05,368.36,208.81,-289.15,-2848.23,-25683.04,1201.3,15682.96,-4804.54,3222.57,-1780.79,-2720.67,-3362.77,-6083.44
56,1438.74,3186.94,4022.59,373.01,229.98,-301.63,-2871.23,-25766.75,1185.53,15685.55,-4715.04,3213.85,-1772.67,-2817.27,-3273.86,-6091.14
57,1426.96,3154.39,4094.74,369.69,209.81,-272.67,-2872.27,-25939.15,1237.6,15762.88,-4666.26,3210.28,-1774.11,-2828.02,-3230.09,-6058.11
58,1395.98,3129.85,4100.45,349.08,215.88,-308.49,-2852.32,-25889.52,1246.19,15888.68,-4719.75,3235.14,-1809.17,-2724.21,-3293.79,-6017.99
59,1385.44,3214.44,4097.79,371.25,229.0,-314.42,-2859.72,-25606.84,1196.63,15775.19,-4918.6,3232.78,-1785.31,-2511.23,-3471.14,-5982.37
60,1373.76,3222.36,4075.26,375.4,237.34,-274.19,-2884.05,-25533.05,1196.63,15705.76,-4915.68,3243.6,-1794.89,-2504.77,-3466.97,-5971.75
61,1382.21,3278.83,4065.5,368.21,205.04,-302.96,-2880.98,-25543.58,1173.56,15661.6,-4856.27,3255.25,-1817.62,-2592.57,-3418.64,-6011.22
62,1420.75,3167.31,4128.83,376.26,214.28,-282.04,-2889.14,-25713.96,1213.2,15699.14,-4720.1,3220.28,-1779.78,-2665.37,-3279.6,-5944.97
63,1415.02,3255.37,4061.13,385.31,218.67,-269.24,-2914.38,-25592.62,1213.26,15686.27,-4875.48,3227.18,-1786.44,-2541.21,-3434.74,-5975.95
64,1416.1,3215.54,4088.08,376.13,207.46,-293.03,-2863.98,-25825.43,1206.19,15719.78,-4669.84,3219.99,-1789.84,-2753.17,-3239.69,-5992.86
65,1398.06,3270.96,4082.36,371.55,194.97,-282.14,-2885.55,-25620.45,1233.03,15589.49,-4761.87,3211.52,-1766.31,-2647.72,-3316.65,-5964.37
66,1401.32,3176.48,4090.41,394.97,219.39,-280.96,-2909.1,-25650.68,1206.69,15651.65,-4782.11,3226.34,-1785.26,-2699.84,-3341.03,-6040.87
67,1393.85,3311.75,4047.34,382.59,231.32,-277.63,-2921.3,-25821.69,1240.13,15761.23,-4695.79,3210.15,-1761.49,-2652.41,-3247.13,-5899.54
68,1440.84,3245.31,4070.65,378.76,202.57,-286.11,-2823.65,-25896.43,1213.63,15665.01,-4529.01,3219.68,-1782.02,-2789.42,-3091.34,-5880.76
69,1417.22,3207.35,4069.24,383.02,197.02,-271.75,-2866.26,-25921.79,1195.42,15697.59,-4577.48,3222.75,-1788.35,-2892.94,-3143.08,-6036.02
70,1408.0,3125.98,4093.81,368.12,223.04,-304.09,-2892.43,-25858.94,1233.71,15745.68,-4628.85,3232.46,-1787.62,-2857.12,-3184.02,-6041.14
71,1398.16,3253.64,4035.97,369.66,214.01,-298.39,-2861.44,-25944.39,1194.2,15559.68,-4439.85,3224.77,-1780.5,-3078.89,-2995.58,-6074.47
72,1346.74,3204.58,4041.2,379.26,228.15,-296.72,-2925.08,-25788.73,1220.45,15687.87,-4643.52,3223.6,-1777.74,-2902.28,-3197.67,-6099.94
73,1326.33,3169.4,4025.87,379.7,217.1,-263.81,-2894.8,-25985.25,1222.95,15794.37,-4558.25,3221.49,-1776.52,-3008.15,-3113.27,-6121.42
74,1380.78,3197.67,4076.39,378.75,216.9,-272.27,-2842.69,-26067.92,1211.77,15781.15,-4480.43,3220.08,-1774.47,-2939.48,-3034.82,-5974.3
75,1366.01,3218.03,4080.69,382.18,226.3,-307.58,-2852.55,-25939.39,1217.75,15685.82,-4559.85,3228.71,-1787.2,-2922.72,-3118.34,-6041.06
76,1361.71,3310.26,4092.42,377.92,220.79,-315.86,-2807.22,-26013.0,1218.8,15675.52,-4507.42,3223.85,-1788.35,-2878.66,-3071.92,-5950.58
77,1425.83,3230.56,4067.99,360.56,224.44,-287.64,-2872.54,-25768.36,1196.98,15617.61,-4660.16,3234.63,-1792.98,-2804.58,-3218.51,-6023.08
78,1446.18,3283.92,4036.42,377.82,222.37,-290.06,-2922.16,-25954.3,1196.14,15752.71,-4548.17,3202.86,-1769.04,-2850.97,-3114.35,-5965.32
79,1433.96,3236.45,4065.3,376.47,225.82,-294.27,-2843.32,-25802.52,1198.67,15772.52,-4680.42,3241.89,-1800.49,-2630.93,-3239.02,-5869.95
80,1429.63,3239.71,4044.12,384.05,204.3,-286.2,-2910.91,-26065.66,1193.42,15778.59,-4475.82,3235.57,-1784.76,-2988.95,-3025.01,-6013.96
81,1371.76,3146.54,4085.12,365.4,204.28,-303.74,-2815.77,-25880.44,1231.8,15789.74,-4694.09,3237.91,-1808.29,-2805.3,-3264.47,-6069.77
82,1480.44,3230.75,4099.33,381.28,217.63,-271.37,-2837.76,-25787.21,1211.96,15699.25,-4717.59,3234.69,-1806.78,-2575.7,-3289.68,-5865.39
83,1413.96,3308.07,4051.57,392.92,213.88,-295.65,-2863.19,-25653.42,1210.8,15596.76,-4758.63,3249.17,-1807.81,-2624.32,-3317.27,-5941.59
84,1403.35,3189.68,4062.8,368.37,214.05,-262.88,-2866.53,-25892.23,1195.05,15779.51,-4615.4,3246.78,-1802.25,-2808.83,-3170.87,-5979.69
85,1410.12,3181.49,4049.46,395.99,225.55,-281.66,-2855.41,-25877.66,1216.79,15724.54,-4613.96,3234.15,-1811.46,-2810.78,-3191.27,-6002.05
86,1333.3,3213.82,4055.95,383.44,218.52,-270.17,-2900.73,-25961.43,1218.83,15843.82,-4610.61,3229.87,-1787.62,-2864.65,-3168.35,-6033.0
87,1462.18,3307.13,4017.54,375.26,212.77,-270.52,-2823.09,-25906.78,1214.95,15669.22,-4588.03,3230.65,-1799.25,-2741.33,-3156.64,-5897.97
88,1402.9,3174.88,4052.84,352.44,224.67,-282.18,-2840.48,-25806.49,1234.84,15629.73,-4644.68,3245.28,-1806.47,-2856.84,-3205.87,-6062.71
89,1359.66,3278.66,4060.83,373.01,224.73,-277.74,-2877.99,-25956.61,1219.54,15805.01,-4624.14,3221.89,-1789.56,-2790.89,-3191.81,-5982.7
90,1383.46,3254.46,4112.01,379.27,215.09,-304.42,-2854.09,-25819.9,1212.3,15670.28,-4649.87,3238.63,-1802.01,-2751.54,-3213.25,-5964.79
91,1467.18,3217.02,4087.67,374.25,213.84,-294.79,-2844.93,-25640.25,1211.73,15693.72,-4852.59,3253.1,-1824.42,-2514.56,-3423.91,-5938.47
92,1389.93,3244.96,4102.64,371.16,224.37,-302.89,-2785.14,-25685.62,1241.1,15834.02,-4929.03,3245.65,-1821.23,-2365.48,-3504.61,-5870.09
93,1406.65,3288.25,4057.16,382.82,232.26,-293.31,-2822.05,-25677.57,1212.98,15752.78,-4850.38,3246.34,-1815.29,-2460.02,-3419.32,-5879.34
94,1371.74,3199.91,4074.27,379.78,210.01,-291.6,-2837.0,-25627.59,1217.84,15798.8,-4896.53,3263.6,-1819.73,-2503.85,-3452.66,-5956.51
95,1323.73,3228.64,4063.12,368.42,205.74,-247.26,-2849.35,-25555.39,1216.32,15699.71,-4941.05,3254.33,-1823.25,-2546.34,-3509.97,-6056.31
96,1376.48,3210.94,4084.08,375.26,214.69,-300.34,-2845.62,-25797.26,1202.14,15760.65,-4756.1,3236.2,-1806.77,-2718.97,-3326.67,-6045.63
97,1417.96,3290.79,4104.23,378.0,208.24,-283.65,-2825.1,-25662.69,1193.69,15622.87,-4791.37,3242.23,-1805.36,-2555.65,-3354.51,-5910.16
98,1443.73,3197.18,4064.65,385.14,206.8,-294.63,-2819.06,-25895.9,1184.86,15828.95,-4747.56,3236.45,-1797.7,-2698.28,-3308.81,-6007.09
99,1409.12,3195.28,4067.14,366.2,218.11,-261.05,-2830.71,-25657.54,1208.49,15776.93,-4892.19,3263.59,-1820.9,-2508.04,-3449.5,-5957.54
100,1389.26,3285.98,4118.01,369.96,213.17,-279.58,-2892.4,-25702.99,1198.82,15653.96,-4724.0,3236.8,-1793.24,-2645.81,-3280.44,-5926.25
101,1411.7,3164.14,4049.93,363.98,211.96,-268.21,-2868.42,-25622.47,1210.89,15753.7,-4841.05,3220.66,-1772.42,-2592.8,-3392.81,-5985.61
102,1415.32,3239.66,4064.62,375.59,201.5,-268.29,-2851.25,-25690.46,1235.98,15754.13,-4831.16,3225.51,-1784.29,-2523.2,-3389.93,-5913.14
103,1394.84,3224.44,4029.76,373.21,200.42,-298.28,-2870.4,-25696.68,1196.06,15747.05,-4826.25,3229.84,-1791.33,-2699.58,-3387.74,-6087.32
104,1393.33,3254.33,4089.42,389.7,214.07,-251.12,-2846.25,-25880.33,1245.65,15756.87,-4733.27,3229.01,-1791.16,-2634.33,-3295.42,-5929.75
105,1435.35,3236.49,4035.09,381.34,226.64,-283.38,-2843.98,-25724.82,1220.69,15882.27,-4962.33,3233.83,-1796.56,-2434.32,-3525.06,-5959.38
106,1486.32,3180.09,4074.49,374.04,205.81,-261.28,-2848.21,-25759.71,1193.05,15808.75,-4793.56,3240.62,-1806.11,-2546.64,-3359.05,-5905.69
107,1390.9,3222.42,4025.38,372.85,240.08,-265.88,-2870.8,-25842.41,1223.4,15857.84,-4742.99,3220.77,-1771.6,-2646.22,-3293.82,-5940.03
108,1409.26,3189.26,4079.93,374.34,203.02,-294.3,-2901.04,-25669.27,1212.72,15826.74,-4865.84,3220.32,-1770.84,-2569.35,-3416.37,-5985.71
109,1384.73,3247.74,4057.37,369.98,210.1,-268.58,-2862.02,-25848.67,1219.01,15648.06,-4662.08,3209.61,-1769.22,-2842.27,-3221.69,-6063.96
110,1441.25,3233.94,4090.02,378.79,217.34,-281.8,-2855.83,-26173.86,1196.25,15840.24,-4539.89,3220.32,-1780.17,-2913.67,-3099.74,-6013.41
111,1419.25,3271.51,4044.75,386.28,211.67,-288.07,-2880.78,-25998.95,1216.26,15753.15,-4626.12,3211.19,-1768.67,-2864.94,-3183.6,-6048.54
112,1393.9,3170.42,4080.07,358.36,212.22,-286.71,-2888.54,-26007.87,1210.62,15823.96,-4616.03,3222.0,-1775.54,-2933.57,-3169.57,-6103.14
113,1418.32,3241.7,4026.42,382.46,222.11,-284.68,-2804.8,-25724.58,1211.35,15633.52,-4797.67,3227.4,-1788.99,-2678.19,-3359.26,-6037.45
114,1313.75,3244.17,4062.57,362.32,223.51,-261.74,-2906.0,-26055.72,1205.68,15898.81,-4643.48,3219.39,-1773.39,-2912.66,-3197.49,-6110.15
115,1375.82,3279.75,4063.92,375.43,214.35,-249.16,-2896.35,-25732.43,1235.01,15775.86,-4835.6,3215.27,-1765.13,-2557.81,-3385.45,-5943.26
116,1412.35,3221.18,4054.95,375.39,233.27,-274.18,-2921.7,-25688.8,1185.57,15837.32,-4867.15,3218.78,-1770.16,-2564.65,-3418.53,-5983.18
117,1426.26,3225.35,4061.8,377.54,227.2,-292.28,-2833.54,-25901.77,1199.29,15806.73,-4719.27,3221.82,-1794.02,-2703.41,-3291.47,-5994.88
118,1439.77,3237.41,4056.97,387.14,226.48,-244.42,-2860.16,-25999.76,1216.26,15809.77,-4652.79,3224.26,-1775.56,-2730.54,-3204.09,-5934.63
119,1433.77,3212.8,4031.75,372.88,224.23,-272.71,-2911.47,-25695.74,1195.77,15871.22,-4908.3,3224.21,-1784.22,-2537.5,-3468.31,-6005.81
120,1431.63,3265.34,4064.34,375.59,211.7,-291.72,-2926.11,-25707.69,1207.01,15671.83,-4774.72,3209.62,-1767.71,-2698.08,-3332.8,-6030.88
121,1431.95,3283.64,4074.99,394.52,219.6,-281.55,-2847.1,-25702.14,1201.75,15660.97,-4798.69,3219.82,-1771.83,-2563.38,-3350.7,-5914.07
122,1406.65,3216.57,4063.23,379.98,222.79,-280.4,-2868.92,-25809.05,1194.94,15786.47,-4756.07,3221.67,-1763.2,-2687.72,-3297.61,-5985.33
123,1372.28,3130.35,4040.14,355.76,190.2,-277.05,-2884.47,-25744.62,1198.24,15796.96,-4795.45,3223.65,-1774.94,-2822.22,-3346.75,-6168.97
124,1407.97,3236.23,4029.65,387.51,223.13,-267.47,-2921.51,-25722.97,1219.66,15859.92,-4871.07,3218.89,-1779.89,-2547.89,-3432.07,-5979.96
125,1396.52,3256.01,4069.14,391.1,229.3,-256.83,-2868.18,-25870.28,1202.33,15836.31,-4749.94,3213.93,-1769.19,-2614.59,-3305.2,-5919.79
126,1436.65,3185.58,4057.93,378.1,216.61,-291.75,-2918.74,-25351.23,1228.51,15691.43,-4992.34,3233.7,-1790.15,-2366.93,-3548.79,-5915.72
127,1432.0,3158.95,4078.85,396.94,219.07,-294.78,-2821.41,-25860.0,1207.05,15781.95,-4724.62,3234.68,-1794.65,-2701.38,-3284.59,-5985.97
128,1428.58,3238.55,4113.98,379.58,233.12,-287.39,-2850.97,-25903.24,1208.32,15749.69,-4630.62,3223.32,-1778.18,-2689.79,-3185.47,-5875.26
129,1384.42,3187.47,4075.6,370.96,219.84,-281.08,-2880.42,-25807.75,1189.39,15836.99,-4771.43,3213.37,-1765.76,-2704.59,-3323.82,-6028.41
130,1373.39,3245.66,4035.32,374.18,205.9,-255.08,-2921.74,-25866.17,1228.64,15789.59,-4632.73,3198.12,-1744.56,-2790.31,-3179.17,-5969.48
131,1379.4,3210.18,4079.48,373.71,225.41,-270.26,-2879.58,-25780.98,1210.19,15777.14,-4783.72,3219.74,-1773.75,-2675.31,-3337.73,-6013.04
132,1407.3,3245.36,4047.09,384.35,218.91,-268.1,-2902.26,-25961.25,1202.98,15732.88,-4638.14,3193.12,-1749.41,-2892.74,-3194.42,-6087.16
133,1445.28,3222.83,4091.35,382.32,237.49,-293.62,-2844.21,-26014.75,1199.18,15799.08,-4655.14,3226.67,-1783.28,-2775.05,-3211.75,-5986.8
134,1434.67,3206.66,4064.39,390.0,203.84,-271.34,-2844.85,-25898.72,1209.52,15689.01,-4648.37,3209.23,-1777.88,-2816.81,-3217.01,-6033.82
135,1391.65,3217.34,4081.67,386.51,208.99,-267.62,-2892.58,-25862.93,1210.2,15805.37,-4709.08,3224.99,-1793.21,-2721.41,-3277.3,-5998.71
136,1474.54,3243.61,4046.69,382.22,202.1,-290.66,-2848.38,-25895.15,1209.85,15768.11,-4679.28,3200.85,-1751.03,-2707.06,-3229.46,-5936.53
137,1404.62,3267.6,4092.79,386.23,221.42,-298.73,-2892.66,-25997.86,1199.3,15755.2,-4541.5,3226.55,-1788.09,-2862.08,-3103.04,-5965.12
138,1431.99,3211.02,4088.77,371.29,202.99,-258.75,-2894.84,-25909.9,1170.16,15786.29,-4642.07,3225.76,-1779.39,-2800.98,-3195.7,-5996.68
